Id,Portfolio Dept?,Title,Portfolio,Classification,Type of Body,GFS Sector Classification,Materiality,Description,Established By / Under,Established by/Under More Info,Creation Date,GFS Function / Sector Reported,PS Act Body,Average Staffing Level (ASL),Max Number of Board / Committee Members,Paid Members?,Board / Committee Appointed by,Board / Committee Appointed More Info,Annual Report Prepared and Tabled?,Auditor,Auditor Other,ABN,Parent Organisation,Parent Board / Non-Board Title,Total Appropriations ($000),Total Departmental Expenses ($000),Head Office Street Address,Head Office Suburb,Head Office State,Head Office Postcode,Head Office Country,Website Address,Strategic/Corporate/Organisational Plan,Annual Reports,Budget Documentation
O-000909,,Australian Public Service Commission,Prime Minister and Cabinet,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Small,"The Australian Public Service Commission (APSC) is a non-corporate Commonwealth entity within the Prime Minister and Cabinet portfolio. The APSC's statutory responsibilities are detailed in the Public Service Act 1999 and include to: -develop, promote, review and evaluate APS employment policies and practices -facilitate continuous improvement in people management throughout the APS -contribute to learning and development and career management -contribute to and foster leadership in the APS -provide advice and assistance on public service matters to entities -promote high standards of integrity and conduct in the APS. The APSC also provides resources to support the Merit Protection Commissioner.",PGPA Rule (Schedule 1),,21/06/2002,GGS,Yes - Statutory Agency,,,,,,Yes,ANAO,,99 470 863 260,,,,,"B Block, Treasury Building, Parkes Pl",Parkes,ACT,2600,Australia,http://www.apsc.gov.au,http://www.apsc.gov.au/publications-and-media/current-publications/apsc-corporate-plan,http://www.apsc.gov.au/about-the-apsc/parliamentary/annual-report,
O-000908,,Australian National Audit Office,Prime Minister and Cabinet,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Small,The Australian National Audit Office (ANAO) is a specialist public sector practice providing a full range of audit and assurance services to the Parliament and Commonwealth public sector entities.,Act / Regulation,Auditor-General Act 1997,7/02/1998,GGS,Yes - Statutory Agency,,,,,,Yes,KPMG,,33 020 645 631,,,,,38 Sydney Avenue,Forrest,ACT,2603,Australia,http://www.anao.gov.au,http://www.anao.gov.au/work/corporate/plan,https://www.anao.gov.au/pubs/annual-reports,
O-000907,,Anindilyakwa Land Council,Prime Minister and Cabinet,A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"The Anindilyakwa Land Council (ALC) represents the Traditional Owners of the Groote archipelago. The ALC officially commenced in 1991; replacing the role previously carried out by the Northern Land Council (NLC). The NLC however, continues to function as the Native Title representative body for the Groote archipelago region. The ALC functions to ascertain and express the wishes and opinions of the Anindilyakwa people as to the management of the land in the Groote archipelago region, to protect interests of Traditional Owners, assist in protection of sacred sites, to consult with Traditional Owners with respect to proposals relating to use of land, to assist Traditional Owners in carrying out commercial activity and to supervise and provide administrative and other assistance for Land Trusts holding Indigenous land in the Groote archipelago region. The ALC is responsible for land visitation to its area of control by non-indigenous people, monitoring illegal entry to lands, issuing of permits for visitation rights, ranger inspections and other daily management issues. The land controlled by the ALC includes Groote Eylandt, Bickerton Island and other islands of the Groote archipelago. It is mandatory for all non-Indigenous people visiting Groote Eylandt to hold a permit to visit non-leasehold Indigenous lands. The ALC administers this system on behalf of the Traditional Owners.",Act / Regulation,Aboriginal Land Rights (Northern Territory) Act 1976,20/06/1991,GGS,,,,,,,Yes,ANAO,,45 175 406 445,,,,,30 Bougainvillea Drive,Alyangula,NT,885,Australia,http://www.anindilyakwa.com.au,http://www.anindilyakwa.com.au/periodicals-and-annual-reports,http://www.anindilyakwa.com.au/periodicals-and-annual-reports,
O-000906,,Aboriginal Hostels Limited,Prime Minister and Cabinet,A. Principal,C. Commonwealth Company,GGS,Small,"Aboriginal Hostels Limited (AHL) contributes to Indigenous Australians' quality of life through the delivery of accommodation and support services across its national network of accommodation facilities, enabling access to a broad range of education, employment, health and other services. The company has maintained its commitment to delivering short-term accommodation to Aboriginal and Torres Strait Islander people who must live away from their country to access services and economic opportunity.",Other,Corporations Act company controlled by the Commonwealth,6/06/1973,GGS,Yes - Statutory Agency,,,,,,Yes,ANAO,,47 008 504 587,,,,,"Level 1, 2-6 Shea Street",Phillip,ACT,2606,Australia,http://www.ahl.gov.au,http://www.ahl.gov.au/?q=our-organisation,http://www.ahl.gov.au/?q=our-organisation,
O-000905,YES,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Material,"The Department of the Prime Minister and Cabinet (PM&C) provides high quality advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Assistant Ministers to achieve a coordinated and innovative approach to the development and implementation of Government policies. PM&C coordinates and develops policy across the Government in economic, domestic and international issues, Aboriginal and Torres Strait Islander affairs and public service stewardship. PM&C does this by: ? providing well-founded advice to the Prime Minister, the Cabinet, Portfolio Ministers and Assistant Ministers on national and global challenges and matters at the forefront of Government ? coordinating policy across Government with a focus on practical changes to improve the lives of all Australians and effective implementation ? fostering a high performing public sector, working with the Australian Public Service Commission ? consulting across Government, the private sector, the not-for-profit sector and the community. PM&C provides clear and persuasive advice to the Government on how it might best tackle the significant issues facing Australia. PM&C?s priorities include: ? supporting the Prime Minister in his role as head of the Australian Government and the Cabinet and supporting PM&C?s Portfolio Ministers ? providing advice on how to make Australia more prosperous, successful and improving its security on a global scale ? enhancing the ability of Aboriginal and Torres Strait Islander people to improve their lives ? working with the Australian Public Service Commission, and all Australian Government agencies, to build a more inclusive and diverse public service. To drive this important work, the Secretary of the Department of Prime Minister and Cabinet chairs the Secretaries? Equality and Diversity Council.",Constitution and Administrative Arrangement Orders,,13/04/1912,GGS,Yes - Department,,,,,,Yes,ANAO,,18 108 001 191,,,,,1 National Circuit,Barton,ACT,2600,Australia,http://www.pmc.gov.au,https://www.dpmc.gov.au/pmc/publication/corporate-plan-2015-19.,https://www.pmc.gov.au/who-we-are/accountability-and-reporting/annual-reports,http://www.dpmc.gov.au/pmc/accountability-and-reporting/portfolio-budget-statements
O-000904,YES,Parliamentary Budget Office,Parliamentary Departments,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Small,"The role of the Parliamentary Budget Office (PBO) is to inform the Parliament by providing independent and non-partisan analysis of the budget cycle, fiscal policy and the financial implications of proposals.",Act / Regulation,Parliamentary Service Act 1999,23/07/2012,GGS,,,,,,,Yes,ANAO,,49 775 240 532,,,,,Parliament House,Canberra,ACT,2600,Australia,http://www.pbo.gov.au,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Parliamentary_Budget_Office/reports,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Parliamentary_Budget_Office/reports,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Parliamentary_Budget_Office/reports
O-000903,YES,Department of the Senate,Parliamentary Departments,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Small,"The Department of the Senate provides the Senate, its committees, the President of the Senate and Senators with a broad range of advisory and support services related to the exercise of the legislative power of the Commonwealth. Part of the Department of the Senate, the Parliamentary Education Office provides a wealth of information on Parliament by facilitating education programs, including role-plays, for over 90,000 students per year. They also create a range of engaging print and online resources about the work of the federal Parliament. The Senate contains a number of Standing Committees, Select Committees and Joint Committees; for further details refer to: http://www.aph.gov.au/Parliamentary_Business/Committees/Senate",Act / Regulation,Parliamentary Service Act 1999,1/01/1901,GGS,,,,,,,Yes,ANAO,,23 991 641 527,,,,,Parliament House,Canberra,ACT,2600,Australia,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_the_Senate,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_the_Senate/Corporate_Plans/Corporate_Plan_2017_18,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_the_Senate/Annual_Reports,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_the_Senate/Portfolio_Budget_Statements
O-000902,YES,Department of the House of Representatives,Parliamentary Departments,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Small,"The Department of the House of Representatives provides services to support the efficient conduct of the House of Representatives, its committees and certain joint committees as well as a range of services and facilities for Members in Parliament House. The House of Representatives contains a number of Standing Committees, Select Committees and Joint Committees; for further details refer to: https://www.aph.gov.au/committees/house",Act / Regulation,Parliamentary Service Act 1999,1/01/1901,GGS,,,,,,,Yes,ANAO,,18 526 287 740,,,,,Parliament House,Canberra,ACT,2600,Australia,https://www.aph.gov.au/dhr,https://www.aph.gov.au/dhr/corporateplan,https://www.aph.gov.au/dhr/annualreport,https://www.aph.gov.au/dhr/pbs
O-000901,YES,Department of Parliamentary Services,Parliamentary Departments,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Material,"The Department of Parliamentary Services (DPS) supports the functioning of Parliament and parliamentarians through the provision of professional services, advice and facilities and by maintaining Australian Parliament House as a working and iconic building. DPS services include ICT, the Parliamentary Library, Hansard, parliamentary broadcasting and security. The Department also provides catering and recreation facilities, manages the Parliament House Art Collection, maintains the building and cares for its heritage, and provides services to almost one million people who visit the building each year.",Act / Regulation,Parliamentary Service Act 1999,2/01/2004,GGS,,,,,,,Yes,ANAO,,52 997 141 147,,,,,Parliament House,Canberra,ACT,2600,Australia,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_Parliamentary_Services,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_Parliamentary_Services/Publications,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_Parliamentary_Services/Publications,http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Department_of_Parliamentary_Services/Publications
O-006003,,Sport Integrity Australia,Health and Aged Care,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Small,"From commencement on 1 July 2020, Sport Integrity Australia will cohesively draw together, develop and nationally coordinate all elements of the sports integrity threat response. This will include acting as a single point of contact for athletes, sporting organisations, sports wagering service providers and other stakeholders for matters relating to sports integrity. Sport Integrity Australia will provide direct assistance to small and emerging Australian sports lacking capacity to deal with integrity issues. The remit of Sport Integrity Australia includes providing advice and assistance in countering: ? Manipulation of sporting competitions ? Use of drugs and doping methods in sport ? Abuse of children and other persons in a sporting environment ? Failure to protect members of sporting organisations and other persons in a sporting environment from bullying, intimidation, discrimination or harassment. The agency will focus on policy development, intelligence, investigations (primarily of doping cases), and education/outreach/capability building. The agency will function as Australia?s National Anti-Doping Organisation.",Act / Regulation,Australian Sports Anti-Doping Authority Amendment (Sport Integrity Australia) Act 2020,7/01/2020,GGS,Yes - Statutory Agency,,,,,,Yes,,,,,,,,"Unit 14, 5 Tennant Street",FYSHWICK,ACT,2609,Australia,www.sportintegrity.gov.au,,,
O-000900,,National Transport Commission,"Infrastructure, Transport, Regional Development, Communications and the Arts",A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"The National Transport Commission (NTC) performs the role of an expert adviser to the Transport and Infrastructure Council on national regulatory reform development, implementation and evaluation in the Australian land transport sector, principally in respect of the national regulators for heavy vehicles and rail safety. The Council, a ministerial council formed by the Council of Australian Governments, is responsible for the NTC, as an inter-jurisdictional transport body covered by an IGA. The Commonwealth is the host jurisdiction for the NTC.",Act / Regulation,"National Transport Commission Act 2003, section 5 pursuant to the Intergovernmental Agreement for Regulatory and Operational Reform in Road, Rail and Intermodal Transport 2003",15/01/2004,GGS,Yes - Statutory Agency with Dual Staffing Powers,,,,,,Yes,ANAO,,67 890 861 578,,,,,"Level 3, 600 Bourke Street",Melbourne,VIC,3000,Australia,http://www.ntc.gov.au,http://www.ntc.gov.au/about-ntc/ntc-corporate-strategies-and-reports/,http://www.ntc.gov.au/about-ntc/ntc-corporate-strategies-and-reports/,
O-000899,,National Capital Authority,"Infrastructure, Transport, Regional Development, Communications and the Arts",A. Principal,A. Non Corporate Commonwealth Entity,GGS,Material,"The National Capital Authority (NCA) operates under the ACT Planning and Land Management Act 1988 (the PALM Act) and performs a range of functions in respect of protecting the Commonwealth's interest in the planning and management of the national capital. It prepares and administers a National Capital Plan. The functions of the NCA provide an enduring framework to secure the planning and development of Canberra as the capital; to accommodate the Seat of Government and associated national and cultural requirements; to provide national public places for all Australians to visit and enjoy; to enhance the unique character and symbolic meaning of the capital, and to develop appreciation of the capital as a reflection of our democracy and national life.",Act / Regulation,"Australian Capital Territory (Planning and Land Management) Act 1988, section 5",31/01/1989,GGS,Yes - Statutory Agency,,,,,,Yes,ANAO,,75 149 374 427,,,,,King Edward Terrace,PARKES,ACT,2600,Australia,http://www.nca.gov.au,https://www.nca.gov.au/about-the-NCA/corporate-documents/corporate-plan-2018-2022,https://www.nca.gov.au/about-the-NCA/corporate-documents/annual-reports,
O-000892,,Airservices Australia,"Infrastructure, Transport, Regional Development, Communications and the Arts",A. Principal,B. Corporate Commonwealth Entity,PNFC,Material,"Airservices is a government-owned statutory authority providing safe, secure, efficient and environmentally responsible services to the aviation industry. Airservices has responsibility for: ? airspace management ? aeronautical information ? aviation communications ? radio navigation aids ? aviation rescue fire fighting services",Act / Regulation,"Air Services Act 1995, section 7",7/01/1995,PNFC,,,,,,,Yes,ANAO,,59 698 720 886,,,,,25 Constitution Avenue,Canberra,ACT,2600,Australia,http://www.airservicesaustralia.com,http://www.airservicesaustralia.com/2017-18-corporate-plan/,http://www.airservicesaustralia.com/publications/corporate-publications/annual-reports,
O-000898,,National Intermodal Corporation Limited,"Infrastructure, Transport, Regional Development, Communications and the Arts",A. Principal,C. Commonwealth Company,PNFC,Material,"National Intermodal Corporation Limited (National Intermodal) (formerly Moorebank Intermodal Company Limited) was established to assist with the delivery of inter-modal terminals in Sydney, Melbourne and Brisbane to support Inland Rail. National Intermodal will play an important role in ensuring genuine, independent open access to a network of terminals along the east coast, driving efficiency and competition in the freight network and boosting national productivity. National Intermodal is incorporated under the Commonwealth Corporations Act 2001, and is a prescribed Government Business Enterprise (GBE) operating under the Public Governance, Performance and Accountability Act 2013 (PGPA Act) and PGPA Rule 2014. National Intermodal is wholly owned by the Australian Government, represented by the Minister for Communications, Urban Infrastructure, Cities and the Arts and the Minister for Finance as the two Shareholder Ministers.",Other,Commonwealth company under the Corporations Act 2001,13/12/2012,PNFC,,,,,,,Yes,ANAO,,64 161 635 105,,,,,"Suite 2, Level 9, 1 O'Connell Street",Sydney,NSW,2000,Australia,http://www.micl.com.au,http://www.micl.com.au/reports/,http://www.micl.com.au/reports/,
O-000897,,Infrastructure Australia,"Infrastructure, Transport, Regional Development, Communications and the Arts",A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"On 1 September 2014, amendments to the Infrastructure Australia Act 2008 came into effect. The amendments re-establish Infrastructure Australia (IA) as a separate entity under the Public Governance, Performance and Accountability Act 2013, and provide for an independent governing entity that is both legally and financially separate from the Commonwealth, including a new Board. The amendments specifically created a Chief Executive Officer (CEO) position that reports to a newly created Board, effectively abolishing the existing Infrastructure Coordinator role and the IA Council. In accordance with other Government boards, the CEO position is responsible for implementing the Board's strategic objectives. It requires IA to: ? develop a 15 year infrastructure plan for Australia based on national, state and local infrastructure priorities and revised every five years ? undertake new evidence-based audit of Australia's current infrastructure asset base, in collaboration with State and Territory Governments that will be updated every five years and fed into the 15 year plan ? develop top down priority lists at national and state levels ? evaluate both economic and social infrastructure proposals and publish the justification for prioritisation, including benefit costs analysis ? provide a quarterly publication summarising all project proposals evaluated ? promote public awareness of matters arising from its functions",Act / Regulation,"Infrastructure Australia Act 2008, part 2",9/01/2014,GGS,Yes - Statutory Agency with Dual Staffing Powers,,,,,,Yes,ANAO,,49 150 585 136,,,,,Level 19/60 Martin Place,Sydney,NSW,2000,Australia,http://www.infrastructureaustralia.gov.au,https://www.infrastructureaustralia.gov.au/about/accountability-and-reporting,https://www.infrastructureaustralia.gov.au/about/accountability-and-reporting,
O-000896,,Civil Aviation Safety Authority,"Infrastructure, Transport, Regional Development, Communications and the Arts",A. Principal,B. Corporate Commonwealth Entity,GGS,Small,The Civil Aviation Safety Authority's primary function is to conduct the safety regulation of civil air operations in Australia and the operation of Australian aircraft overseas. It also performs a number of safety-related functions including safety education and training.,Act / Regulation,"Civil Aviation Act 1988, section 8",7/06/1995,GGS,,,,,,,Yes,ANAO,,44 808 014 470,,,,,16 Furzer Street,Phillip,ACT,2606,Australia,http://www.casa.gov.au,https://www.casa.gov.au/publications-and-resources/corporate-publications,https://www.casa.gov.au/publications-and-resources/corporate-publications,https://www.casa.gov.au/about-us/standard-page/portfolio-budget-statements
O-000895,,Australian Transport Safety Bureau,"Infrastructure, Transport, Regional Development, Communications and the Arts",A. Principal,A. Non Corporate Commonwealth Entity,GGS,Small,"The Australian Transport Safety Bureau (ATSB) is Australia's national transport safety investigator. The ATSB's function is to improve transport safety by investigating and reporting on aviation, maritime and rail safety matters.",Act / Regulation,"Transport Safety Investigation Act 2003, section 12",7/01/2009,GGS,Yes - Statutory Agency,,,,,,Yes,ANAO,,65 061 156 887,,,,,62 Northbourne Avenue,Canberra,ACT,2601,Australia,http://www.atsb.gov.au,http://www.atsb.gov.au/publications/publications-list/?s=1&publicationType=Corporate%20Plan,http://www.atsb.gov.au/publications/publications-list/?publicationType=Annual%20Report,https://www.atsb.gov.au/about_atsb/portfolio-budget-statement/
O-000894,,Australian Rail Track Corporation Limited,"Infrastructure, Transport, Regional Development, Communications and the Arts",A. Principal,C. Commonwealth Company,PNFC,Material,"The Australian Rail Track Corporation Limited (ARTC) was created after the Commonwealth and State Governments agreed in 1997 to the formation of a 'one-stop shop"" for all rail operators seeking access to the National interstate rail network. ARTC currently has responsibility for the management of over 8,500 route kilometres of standard gauge interstate track in South Australia, Victoria, Western Australia, Queensland and New South Wales. The company is responsible for delivering the Melbourne to Brisbane Inland Rail project. ARTC also manages the Hunter Valley coal rail network, and a range of regional rail links, in various state jurisdictions. Over these corridors, ARTC is responsible for: - selling access to train operators - the development of new business - capital investment in the corridors - management of the network - the management of infrastructure maintenance",Other,Commonwealth company under the Corporations Act 2001,25/02/1998,PNFC,,,,,,,Yes,ANAO,,75 081 455 754,,,,,Sir Donald Bradman Drive Passenger Rail Terminal Road,Mile End,SA,5031,Australia,http://www.artc.com.au,http://www.artc.com.au/Content.aspx?p=28,http://www.artc.com.au/Content.aspx?p=28,http://www.artc.com.au/Content.aspx?p=28
O-000893,,Australian Maritime Safety Authority,"Infrastructure, Transport, Regional Development, Communications and the Arts",A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"The Australian Maritime Safety Authority (AMSA) is a statutory authority established under the Australian Maritime Safety Authority Act 1990. It is a corporate Commonwealth entity under the Public Governance, Performance and Accountability Act 2013. AMSA is the national regulator for domestic commercial vessels and the national safety entity responsible for maritime safety, protection of the marine environment and maritime and aviation search and rescue services. AMSA represents the Australian Government at the International Maritime Organization (IMO) and other international forums in the development, implementation and enforcement of international standards including those governing ship safety and marine environment protection.",Act / Regulation,"Australian Maritime Safety Authority Act 1990, section 5",1/01/1991,GGS,,,,,,,Yes,ANAO,,65 377 938 320,,,,,82 Northbourne Avenue,Braddon,ACT,2612,Australia,http://www.amsa.gov.au,https://www.amsa.gov.au/about/corporate-publications%23collapseArea166,https://www.amsa.gov.au/about/corporate-publications%23collapseArea166,
O-000891,YES,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Infrastructure, Transport, Regional Development, Communications and the Arts",A. Principal,A. Non Corporate Commonwealth Entity,GGS,Material,"Our work connects and enriches every Australian community, underpins our economy and society, and empowers our regions. We provide policy advice and deliver programs, projects and services in the infrastructure, transport, communications and arts sectors, supporting our regions, cities and territories.",Constitution and Administrative Arrangement Orders,,2/01/2020,GGS,Yes - Department,,,,,,Yes,ANAO,,86 267 354 017,,,,,111 Alinga Street,Canberra City,ACT,2601,Australia,https://www.infrastructure.gov.au,https://infrastructure.gov.au/department/about/corporate-plan.aspx,https://infrastructure.gov.au/department/annual_report/index.aspx,https://infrastructure.gov.au/department/statements/2017_2018/budget/index.aspx
O-000890,,Northern Australia Infrastructure Facility,"Infrastructure, Transport, Regional Development, Communications and the Arts",A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"Northern Australia Infrastructure Facility (NAIF) is a Commonwealth Government $5 billion lending facility to finance projects via the governments of the Northern Territory, Queensland and Western Australia to achieve growth in the economies and populations of those regions and encourage and complement private sector investment in northern Australia. NAIF's primary purpose is to accelerate infrastructure development and thereby transform northern Australia by financing that generates: public benefit being broad based and outside of that enjoyed by a project proponent; growth in the economy and population of northern Australia; potential to encourage private sector participation in the financing of northern Australia's infrastructure needs; and sustainable Indigenous participation, procurement and employment outcomes.",Act / Regulation,Northern Australia Infrastructure Facility Act 2016,7/01/2016,GGS,,,,,,,Yes,ANAO,,83 960 779 392,,,,,"to Level 2, 111 Grafton Street",Cairns,QLD,4870,Australia,www.naif.gov.au,https://naif.gov.au/corporate-reporting/reporting/,https://naif.gov.au/corporate-reporting/reporting/,https://naif.gov.au/corporate-reporting/reporting/ linked to
O-000889,,National Offshore Petroleum Safety and Environmental Management Authority,"Industry, Science and Resources",A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"The National Offshore Petroleum Safety and Environmental Management Authority (NOPSEMA) is Australia's independent expert regulator for health and safety, structural (well) integrity and environmental management for all offshore oil and gas operations and greenhouse gas storage activities in Commonwealth waters, and in coastal waters where regulatory powers and functions have been conferred.",Act / Regulation,Offshore Petroleum and Greenhouse Gas Storage Act 2006,1/01/2012,GGS,Yes - Statutory Agency,,,,,,Yes,ANAO,,22 385 178 289,,,,,"Level 8, 58 Mounts Bay Road",Perth,WA,6000,Australia,http://www.nopsema.gov.au,https://www.nopsema.gov.au/about/people-planning-and-performance/,https://www.nopsema.gov.au/about/people-planning-and-performance/#Compliance-reporting,
O-000888,,IP Australia,"Industry, Science and Resources",A. Principal,A. Non Corporate Commonwealth Entity,GGS,Small,"IP Australia is the entity responsible for administering Australia's IP rights system, specifically patents, trade marks, designs and plant breeder's rights. IP Australia's vision is to create a world leading IP system building prosperity for Australia. IP Australia includes office holders as specified under the Designs Act 2003, the Plant Breeder's Rights Act 1994, the Patents Act 1990 and the Trade Marks Act 1995.",PGPA Rule (Schedule 1),,13/02/1904,GGS,Yes - Operate with some Independence,,,,,,Yes,ANAO,,38 113 072 755,,,,,47 Bowes Street,Phillip,ACT,2606,Australia,https://www.ipaustralia.gov.au/,https://www.ipaustralia.gov.au/corporate-plan-2021-22,http://www.industry.gov.au/AboutUs/CorporatePublications/AnnualReports/Pages/default.aspx,http://www.industry.gov.au/AboutUs/Budget/Pages/default.aspx
O-000887,,Geoscience Australia,"Industry, Science and Resources",A. Principal,A. Non Corporate Commonwealth Entity,GGS,Material,"Geoscience Australia is the national public sector geoscience organisation. Its mission is to be the trusted source of information on Australia's geology and geography to inform government, industry and community decision-making. The work of Geoscience Australia covers the Australian landmass, marine jurisdiction and territories in Antarctica.",PGPA Rule (Schedule 1),,7/02/1949,GGS,Yes - Operate with some Independence,,,,,,Yes,ANAO,,80 091 799 039,,,,,Cnr Jerrabomberra Ave and Hindmarsh Drive,Symonston,ACT,2609,Australia,http://www.ga.gov.au,http://www.ga.gov.au/about/corporate-documents,http://www.ga.gov.au/about/corporate-documents,http://www.ga.gov.au/about/corporate-documents
O-000886,,Commonwealth Scientific and Industrial Research Organisation,"Industry, Science and Resources",A. Principal,B. Corporate Commonwealth Entity,GGS,Material,"CSIRO is an Australian Government statutory authority constituted and operating under the provisions of the Science and Industry Research Act 1949. CSIRO's primary functions under the Act are to carry out scientific research to benefit Australian industry and the community, and to contribute to the achievement of national objectives.",Act / Regulation,Science and Industry Research Act 1949,7/02/1949,GGS,,,,,,,Yes,ANAO,,41 687 119 230,,,,,"Building 101, Clunies Ross Street",Black Mountain,ACT,2601,Australia,http://www.csiro.au,http://www.csiro.au/en/About/Strategy-structure,http://www.csiro.au/en/About/Our-impact/Reporting-our-impact/Annual-reports,
O-000885,,Australian Nuclear Science and Technology Organisation,"Industry, Science and Resources",A. Principal,B. Corporate Commonwealth Entity,GGS,Material,"The Australian Nuclear Science and Technology Organisation (ANSTO) is Australia's national nuclear research and development organisation, and is the centre of Australian nuclear expertise. This unique expertise is applied to radiopharmaceutical production, research into areas of national priority ? including health, materials engineering, and water resource management ? and to helping Australian industries solve complex problems. ANSTO also provides expert advice to Government on all matters relating to nuclear science, technology, and engineering. ANSTO operates landmark national scientific facilities, including the Open Pool Australian Light-water multipurpose reactor (OPAL), Australia's only nuclear research reactor, and the Australian Synchrotron, for the benefit of industry, the Australian research community, and all Australians.",Act / Regulation,Australian Nuclear Science and Technology Organisation Act 1987,7/02/1953,GGS,Yes - Statutory Agency,,,,,,Yes,ANAO,,47 956 969 590,,,,,New Illawarra Road,Lucas Heights,NSW,2234,Australia,http://www.ansto.gov.au/,http://www.ansto.gov.au/Resources/Publications/CorporatePlan/index.htm,https://www.ansto.gov.au/annual-report,https://www.industry.gov.au/sites/default/files/2019-04/2019-20-department-of-industry-innovation-and-science-pbs.pdf
O-000884,,Australian Institute of Marine Science,"Climate Change, Energy, the Environment and Water",A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"The Australian Institute of Marine Science (AIMS), Australia's tropical marine research agency, is recognised internationally for its leadership in research into tropical marine environments and their living aquatic resources. Its mission is to provide research and knowledge of Australia's tropical marine estate required to support growth in its sustainable use, effective environmental management and protection of its unique ecosystem.",Act / Regulation,Australian Institute of Marine Science Act 1972,7/01/1972,GGS,Yes - Statutory Agency,,,,,,Yes,ANAO,,78 961 616 230,,,,,1526 Cape Cleveland Road,Cape Cleveland,QLD,4810,Australia,http://www.aims.gov.au/,http://www.aims.gov.au/publications.html,http://www.aims.gov.au/docs/publications/annual-reports.html,https://www.industry.gov.au/sites/default/files/2019-04/2019-20-department-of-industry-innovation-and-science-pbs.pdf
O-000883,YES,"Department of Industry, Science and Resources","Industry, Science and Resources",A. Principal,A. Non Corporate Commonwealth Entity,GGS,Material,"The department's vision is to enable growth and productivity for globally competitive industries by supporting innovation, science and commercialisation; growing business investment and improving business capability; streamlining regulations; and building a high performance organisation.",Constitution and Administrative Arrangement Orders,,2/01/2020,GGS,Yes - Department,,,,,,Yes,ANAO,,74 599 608 295,,,,,10 Binara St,Canberra,ACT,2601,Australia,http://www.industry.gov.au,http://www.industry.gov.au/AboutUs/CorporatePublications/Pages/StrategicPlan.aspx,http://www.industry.gov.au/AboutUs/CorporatePublications/AnnualReports/Pages/default.aspx,
O-000882,YES,Department of Home Affairs,Home Affairs,A. Principal,A. Non Corporate Commonwealth Entity,GGS,Material,"The Department of Home Affairs, led by Secretary Michael Pezzullo, remains responsible for immigration and customs border policy, and the following functions: ?National security and law enforcement policy ?Emergency management, including crisis management and disaster recovery ?Countering terrorism policy and coordination ?Cyber security policy and coordination ?Countering foreign interference ?Critical infrastructure protection ?Multicultural affairs ?Countering violent extremism programs ?Transport Security",Constitution and Administrative Arrangement Orders,,18/09/2013,Social Security and Welfare; Education; Other Economic Affairs; General Public Services,Yes - Department,,,,,,Yes,ANAO,,33 380 054 835,,,,,4 National Circuit,Barton,ACT,2600,Australia,http://www.homeaffairs.gov.au/,https://www.homeaffairs.gov.au/reports-and-publications/reports/corporate-plans-and-reports,https://www.homeaffairs.gov.au/reports-and-publications/reports/annual-reports,https://www.homeaffairs.gov.au/reports-and-publications/reports/budgets
B-003164,,Open Arms National Advisory Committee,Veterans' Affairs (part of the Defence Portfolio),B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The National Advisory Committee provides quality, independent, consultation based advice to the Minister on the strategic directions and operations of Open Arms - Veterans & Families Counselling (Open Arms). Open Arms is a national mental health service that provides 24-hour free and confidential counselling, group programs and suicide prevention training for current and ex-serving ADF personnel, and their families.",Cabinet,,2/07/1981,,,,11,Yes,Ministerial,,No,,,,,Open Arms Veterans and Families Counselling,,,"Gnabra Building, 21 Genge Street",Civic,ACT,2601,Australia,https://www.openarms.gov.au,,,
